A,Greedy (A1 Time),Greedy (A1 coin),Greedy (A2 Time),Greedy (A2 coin)
2000,0.0,36,0.0,15
2001,0.0,37,0.0,16
2002,0.0,37,0.0,17
2003,0.0,38,0.0,18
2004,0.0,34,0.0,19
2005,0.0,35,0.0,20
2006,0.0,35,0.0,16
2007,0.0,36,0.0,17
2008,0.0,36,0.0,18
2009,0.0,37,0.0,19
2010,0.0,35,0.0,20
2011,0.0,36,0.0,21
2012,0.0,36,0.0,17
2013,0.0,37,0.0,16
2014,0.0,37,0.0,17
2015,0.0,38,0.0,18
2016,0.0,35,0.0,19
2017,0.0,36,0.0,20
2018,0.0,36,0.0,21
2019,0.0,37,0.0,17
2020,0.0,37,0.0,18
2021,0.0,38,0.0,19
2022,0.0,36,0.0,20
2023,0.0,37,0.0,21
2024,0.0,37,0.0,15
2025,0.0,38,0.0,16
2026,0.0,38,0.0,17
2027,0.0,39,0.0,18
2028,0.0,34,0.0,19
2029,0.0,35,0.0,20
2030,0.0,35,0.0,16
2031,0.0,36,0.0,17
2032,0.0,36,0.0,18
2033,0.0,37,0.0,19
2034,0.0,35,0.0,20
2035,0.0,36,0.0,21
2036,0.0,36,0.0,17
2037,0.0,37,0.0,16
2038,0.0,37,0.0,17
2039,0.0,38,0.0,18
2040,0.0,34,0.0,19
2041,0.0,35,0.0,20
2042,0.0,35,0.0,21
2043,0.0,36,0.0,17
2044,0.0,36,0.0,18
2045,0.0,37,0.0,19
2046,0.0,35,0.0,20
2047,0.0,36,0.0,21
2048,0.0,36,0.0,22
2049,0.0,37,0.0,18
2050,0.0,37,0.0,17
2051,0.0,38,0.0,18
2052,0.0,35,0.0,19
2053,0.0,36,0.0,20
2054,0.0,36,0.0,21
2055,0.0,37,0.0,22
2056,0.0,37,0.0,18
2057,0.0,38,0.0,19
2058,0.0,36,0.0,20
2059,0.01,37,0.0,21
2060,0.0,37,0.0,22
2061,0.0,38,0.0,16
2062,0.0,38,0.0,17
2063,0.0,39,0.0,18
2064,0.0,35,0.0,19
2065,0.0,36,0.0,20
2066,0.0,36,0.0,21
2067,0.0,37,0.0,17
2068,0.0,37,0.0,18
2069,0.0,38,0.0,19
2070,0.0,36,0.0,20
2071,0.0,37,0.0,21
2072,0.0,37,0.0,22
2073,0.0,38,0.0,18
2074,0.0,38,0.0,17
2075,0.0,39,0.0,18
2076,0.0,36,0.0,19
2077,0.0,37,0.0,20
